0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:24 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:25 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:26 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:44:27 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
